Violation ID,Vehicle ID,First Occurrence,Last Occurrence,Violation Status,Violation Type,Bus Route ID,Violation Latitude,Violation Longitude,Stop ID,Stop Name,Bus Stop Latitude,Bus Stop Longitude,Violation Georeference,Bus Stop Georeference
411944798,34dcbf90f665de3702ef8543ee3ad71ae5fc17c2cdb085fb3bc9f3f1735b2586,11/27/2023 03:09:38 PM,11/27/2023 03:23:59 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.633842,-73.947772,303477,NOSTRAND AV/NEWKIRK AV,40.640085,-73.948517,POINT (-73.947772 40.633842),POINT (-73.948517 40.640085)
411930702,53d05744d00359c947fc5c01e8300dbdac5468fcd09fe277f9a035ac0ea25afa,11/27/2023 02:11:42 PM,11/27/2023 02:31:40 PM,TECHNICAL ISSUE/OTHER,MOBILE BUS LANE,B44+,40.633827,-73.94777,303477,NOSTRAND AV/NEWKIRK AV,40.640085,-73.948517,POINT (-73.94777 40.633827),POINT (-73.948517 40.640085)
411930669,75b94769b6c6c2f13b8a6de91e9642a158fbb71e96c727d7dd530a9b04094bad,11/27/2023 02:32:13 PM,11/27/2023 02:44:12 PM,TECHNICAL ISSUE/OTHER,MOBILE BUS LANE,B44+,40.651629,-73.949652,303469,NOSTRAND AV/CLARKSON AV,40.655011,-73.950113,POINT (-73.949652 40.651629),POINT (-73.950113 40.655011)
411930668,a3571cbfbde4ba89b179517cf0289fd5cfa71fd00747d481ecdb900574405df4,11/27/2023 02:11:44 PM,11/27/2023 02:31:41 PM,DRIVER/VEHICLE INFO MISSING,MOBILE BUS LANE,B44+,40.633772,-73.94776,303477,NOSTRAND AV/NEWKIRK AV,40.640085,-73.948517,POINT (-73.94776 40.633772),POINT (-73.948517 40.640085)
411930665,5ebfe4dced4f52be422c59fec9b5b6a95a9314e7da535f12e78cee5296d61709,11/27/2023 02:22:26 PM,11/27/2023 02:39:04 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.694603,-73.952393,303441,LEE AV/FLUSHING AV,40.699506,-73.953484,POINT (-73.952393 40.694603),POINT (-73.953484 40.699506)
411930657,4380c241399d6968cf1b0d7e39ae275d015480474b5b2f29a06be2cc1929cf73,11/27/2023 02:03:32 PM,11/27/2023 03:41:45 PM,TECHNICAL ISSUE/OTHER,MOBILE BUS LANE,B44+,40.631911,-73.947507,901278,NOSTRAND AV/AV H,40.631827,-73.947438,POINT (-73.947507 40.631911),POINT (-73.947438 40.631827)
411930654,b06e70547fb5bc1398ae973afad59f8794ca7300e548aba9eab357051668c4b7,11/27/2023 02:11:46 PM,11/27/2023 02:31:42 PM,TECHNICAL ISSUE/OTHER,MOBILE BUS LANE,B44+,40.633724,-73.947756,303477,NOSTRAND AV/NEWKIRK AV,40.640085,-73.948517,POINT (-73.947756 40.633724),POINT (-73.948517 40.640085)
411930626,cfc66a544909975c9ad2dd7d72e9ac20391fbf1e437c714bf2f71f584e92b13f,11/27/2023 02:41:10 PM,11/27/2023 02:53:28 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.633536,-73.947741,303477,NOSTRAND AV/NEWKIRK AV,40.640085,-73.948517,POINT (-73.947741 40.633536),POINT (-73.948517 40.640085)
399140438,ae88a17399eade426800a60fbeba7876432be8112942cb43cf4ec7d43ad84512,12/31/2023 04:28:56 PM,12/31/2023 05:25:57 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.629792,-73.947387,303376,NOSTRAND AV/AV L,40.62188,-73.945851,POINT (-73.947387 40.629792),POINT (-73.945851 40.62188)
399140046,3998cb752342c6b98a5f78b7e5b91bbc223d64e4b10e6df3b020562b156715ac,12/31/2023 04:13:34 PM,12/31/2023 04:28:50 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.629447,-73.947334,303376,NOSTRAND AV/AV L,40.62188,-73.945851,POINT (-73.947334 40.629447),POINT (-73.945851 40.62188)
399140034,643f7e40dcfe7e148780f9ce8d07fcbd702b2f5d0d2ab032be3347e64b2affde,12/31/2023 05:25:49 PM,12/31/2023 06:18:11 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.629278,-73.947321,303376,NOSTRAND AV/AV L,40.62188,-73.945851,POINT (-73.947321 40.629278),POINT (-73.945851 40.62188)
399140008,cc5a5ecbdfa4dcdfd0bbc703fbd54dd79a2847deb4484243714f4a2bed8293d2,12/31/2023 06:19:50 PM,12/31/2023 06:39:14 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.630168,-73.947427,303376,NOSTRAND AV/AV L,40.62188,-73.945851,POINT (-73.947427 40.630168),POINT (-73.945851 40.62188)
399139979,e500832f2fec44bec6eb8a91f29708342753d2945dbf7b24bc0adfdbce14ea1b,12/31/2023 06:18:22 PM,12/31/2023 06:39:14 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.630224,-73.947433,303376,NOSTRAND AV/AV L,40.62188,-73.945851,POINT (-73.947433 40.630224),POINT (-73.945851 40.62188)
399139976,0a1304da365440dc4587c330c6b7d391db068dddb8e36f9a12866aeaa607bf38,12/31/2023 12:51:07 PM,12/31/2023 01:30:12 PM,EXEMPT - EMERGENCY VEHICLE,MOBILE BUS LANE,B44+,40.632324,-73.947606,901278,NOSTRAND AV/AV H,40.631827,-73.947438,POINT (-73.947606 40.632324),POINT (-73.947438 40.631827)
399139960,15a8a2947cd813507ccdbd62273159a345cfdaf33e83cdc23bc9a7d76ea5a2a6,12/31/2023 04:13:44 PM,12/31/2023 04:29:02 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.630232,-73.947403,303376,NOSTRAND AV/AV L,40.62188,-73.945851,POINT (-73.947403 40.630232),POINT (-73.945851 40.62188)
399136833,773c37ce18421cd95d94d09c9410675880c125050bd178229d01b957db02777b,12/31/2023 08:14:51 AM,12/31/2023 08:56:23 AM,EXEMPT - BUS/PARATRANSIT,MOBILE BUS LANE,B44+,40.632162,-73.947595,901278,NOSTRAND AV/AV H,40.631827,-73.947438,POINT (-73.947595 40.632162),POINT (-73.947438 40.631827)
399079724,471e2d4c88a61d53a4f7b31a01c6ab6d6494576915686af547270f25ff3912f0,12/29/2023 09:17:09 AM,12/29/2023 09:53:48 AM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.697052,-73.956649,303417,BEDFORD AV/LAFAYETTE AV,40.689351,-73.955002,POINT (-73.956649 40.697052),POINT (-73.955002 40.689351)
399079333,d808caf013e621c774287573b1cd5c2d3c764dea0063864ae2e7d5691a37e4a8,12/30/2023 03:18:04 PM,12/30/2023 03:25:58 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.633953,-73.947773,303477,NOSTRAND AV/NEWKIRK AV,40.640085,-73.948517,POINT (-73.947773 40.633953),POINT (-73.948517 40.640085)
399079287,29f51a8d7a5575e9ffa8ad4ca20b79a84199ef677d0dd4aa6f4716b97bd7825d,12/30/2023 03:19:57 PM,12/30/2023 03:27:24 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.633478,-73.94772,303477,NOSTRAND AV/NEWKIRK AV,40.640085,-73.948517,POINT (-73.94772 40.633478),POINT (-73.948517 40.640085)
