Violation ID,Vehicle ID,First Occurrence,Last Occurrence,Violation Status,Violation Type,Bus Route ID,Violation Latitude,Violation Longitude,Stop ID,Stop Name,Bus Stop Latitude,Bus Stop Longitude,Violation Georeference,Bus Stop Georeference
352355258,f31034de7883a465d002e8c0127ab6b95de01e09afadda0fab844ff8cf21efc4,01/31/2023 06:11:26 PM,01/31/2023 06:20:57 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.6334963333333,-73.9476056666667,303477,NOSTRAND AV/NEWKIRK AV,40.640085,-73.948517,POINT (-73.9476056666667 40.6334963333333),POINT (-73.948517 40.640085)
352346872,bf3d0479941a22f007ef21e7ae06eb0003c93c7278d80d5fdc9e78105accf330,01/31/2023 05:26:00 PM,01/31/2023 05:43:00 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.6333015,-73.947616,303477,NOSTRAND AV/NEWKIRK AV,40.640085,-73.948517,POINT (-73.947616 40.6333015),POINT (-73.948517 40.640085)
352342761,ab6acec9f497d9a2989280c2a81282e4f86a868bf3968028173a5be32745ecc3,01/31/2023 04:35:00 PM,01/31/2023 05:03:00 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.63343633,-73.947727,303477,NOSTRAND AV/NEWKIRK AV,40.640085,-73.948517,POINT (-73.947727 40.63343633),POINT (-73.948517 40.640085)
352338288,988cb49a3b86fab1cd82ca4d32c9b2f29dfb83cbbcb06de69305fa02f6f91ba1,01/31/2023 04:04:00 PM,01/31/2023 04:24:00 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.69906867,-73.953407,303441,LEE AV/FLUSHING AV,40.699506,-73.953484,POINT (-73.953407 40.69906867),POINT (-73.953484 40.699506)
352335635,ec80d0f3597854dd89612aaf2942cd3646bf7d1b0f0a00f3218610c37b171327,01/31/2023 03:48:00 PM,01/31/2023 04:12:00 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.6319045,-73.947596,901278,NOSTRAND AV/AV H,40.631827,-73.947438,POINT (-73.947596 40.6319045),POINT (-73.947438 40.631827)
352321249,942cdade9269d0c65d9e4968345ee423e239f28af31bf7121e65aea9fd92e6ba,01/31/2023 01:31:00 PM,01/31/2023 02:11:00 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.69469567,-73.95239983,303441,LEE AV/FLUSHING AV,40.699506,-73.953484,POINT (-73.95239983 40.69469567),POINT (-73.953484 40.699506)
352316915,093ce592e9aaa80fd19d4e444a2efa3866896ef68e6e52798ebd012e41018720,01/31/2023 02:48:29 PM,01/31/2023 02:54:04 PM,EXEMPT - EMERGENCY VEHICLE,MOBILE BUS LANE,B44+,40.6316076666667,-73.9475626666667,901278,NOSTRAND AV/AV H,40.631827,-73.947438,POINT (-73.9475626666667 40.6316076666667),POINT (-73.947438 40.631827)
352316832,b084ad0fe5d624578247d5eb84171b3be5b21228a8070090c79a87f3fb71d25e,01/31/2023 06:11:00 PM,01/31/2023 06:41:00 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.6336635,-73.94770517,303477,NOSTRAND AV/NEWKIRK AV,40.640085,-73.948517,POINT (-73.94770517 40.6336635),POINT (-73.948517 40.640085)
352314689,8e17359eced39f95d4520c78b80214a3bd5546f887ca0f883b1ebfb2c776cf24,01/31/2023 08:37:51 AM,01/31/2023 08:48:19 AM,EXEMPT - EMERGENCY VEHICLE,MOBILE BUS LANE,B44+,40.633656,-73.9478143333333,303477,NOSTRAND AV/NEWKIRK AV,40.640085,-73.948517,POINT (-73.9478143333333 40.633656),POINT (-73.948517 40.640085)
352314682,726a1e815320c7c85f291ea9f53a84b1736a8c8ebfdc851bff6310f331daddd4,01/31/2023 11:07:20 AM,01/31/2023 11:38:44 AM,TECHNICAL ISSUE/OTHER,MOBILE BUS LANE,B44+,40.6535605,-73.949804,303469,NOSTRAND AV/CLARKSON AV,40.655011,-73.950113,POINT (-73.949804 40.6535605),POINT (-73.950113 40.655011)
