Violation ID,Vehicle ID,First Occurrence,Last Occurrence,Violation Status,Violation Type,Bus Route ID,Violation Latitude,Violation Longitude,Stop ID,Stop Name,Bus Stop Latitude,Bus Stop Longitude,Violation Georeference,Bus Stop Georeference
360443322,cd8aedcc2c966c2c3128818deb321c84747128d77c9f3f1c00d767e6fc4192d4,03/30/2023 12:29:00 PM,03/30/2023 12:39:41 PM,EXEMPT - BUS/PARATRANSIT,MOBILE BUS LANE,B44+,40.6344998333333,-73.9477735,303477,NOSTRAND AV/NEWKIRK AV,40.640085,-73.948517,POINT (-73.9477735 40.6344998333333),POINT (-73.948517 40.640085)
360443314,7b5b5e516b899a43bcb7123fc2c252b4b8fdcd9567d035232f216de2eb45939e,03/30/2023 10:57:32 AM,03/30/2023 12:01:47 PM,EXEMPT - OTHER,MOBILE BUS LANE,B44+,40.6324081666667,-73.9476335,901278,NOSTRAND AV/AV H,40.631827,-73.947438,POINT (-73.9476335 40.6324081666667),POINT (-73.947438 40.631827)
360003985,04abd244dbc4036fe4031950085a23b3ec7dfc94a4db00091a5f162fab7663a1,03/31/2023 08:53:13 AM,03/31/2023 10:13:57 AM,EXEMPT - EMERGENCY VEHICLE,MOBILE BUS LANE,B44+,40.632347,-73.9476205,901278,NOSTRAND AV/AV H,40.631827,-73.947438,POINT (-73.9476205 40.632347),POINT (-73.947438 40.631827)
360000317,3f458190e67894eae37e3e122850dc0f47bafbb450166309afda263437ff46e3,03/31/2023 07:13:36 AM,03/31/2023 08:06:02 AM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.6346456666667,-73.9479213333333,303477,NOSTRAND AV/NEWKIRK AV,40.640085,-73.948517,POINT (-73.9479213333333 40.6346456666667),POINT (-73.948517 40.640085)
360000315,f4c07b886377c8c5ae94fe3908d4514183e7672e3234d4482b67d969ff5522a2,03/31/2023 10:58:00 AM,03/31/2023 11:11:00 AM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.69595733,-73.95271867,303441,LEE AV/FLUSHING AV,40.699506,-73.953484,POINT (-73.95271867 40.69595733),POINT (-73.953484 40.699506)
360000290,f0601a2afc1fb7dc880cd7a51ff9cde58702037de5dcfb0299616771a362448b,03/31/2023 08:17:31 AM,03/31/2023 08:43:27 AM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.6776066666667,-73.952652,901280,ROGERS AV/SAINT JOHNS PLACE,40.671595,-73.952992,POINT (-73.952652 40.6776066666667),POINT (-73.952992 40.671595)
360000280,567b8f0d4fa1d56a91eef6bab326a7fd0274e9eecc9bf1e219652b0cdeed2cd0,03/31/2023 07:53:55 AM,03/31/2023 09:08:26 AM,TECHNICAL ISSUE/OTHER,MOBILE BUS LANE,B44+,40.6653165,-73.951022,303459,NOSTRAND AV/ST JOHNS PL,40.670871,-73.950508,POINT (-73.951022 40.6653165),POINT (-73.950508 40.670871)
359846802,a1f1776574268ca46b7b1893faba97f53f97490c0c4a430fcf356ef91913b283,03/31/2023 05:28:00 PM,03/31/2023 06:26:00 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.65619417,-73.95306267,303945,ROGERS AV/CLARKSON AV,40.65552,-73.952902,POINT (-73.95306267 40.65619417),POINT (-73.952902 40.65552)
359846388,c310db0d45fd28f6c0af246bf87db713fa02975dc98ab4d6e317c4914accd165,03/31/2023 06:02:31 PM,03/31/2023 06:07:49 PM,EXEMPT - BUS/PARATRANSIT,MOBILE BUS LANE,B44+,40.6304628333333,-73.9475045,303376,NOSTRAND AV/AV L,40.62188,-73.945851,POINT (-73.9475045 40.6304628333333),POINT (-73.945851 40.62188)
359846254,4b65d57781aad587893fa733646da54d8149998ef52dbe3f5205d97f72e2679c,03/31/2023 05:53:47 PM,03/31/2023 06:23:44 PM,EXEMPT - BUS/PARATRANSIT,MOBILE BUS LANE,B44+,40.6665416666667,-73.9509048333333,303459,NOSTRAND AV/ST JOHNS PL,40.670871,-73.950508,POINT (-73.9509048333333 40.6665416666667),POINT (-73.950508 40.670871)
359846216,0a9bc8f82aafd289aecb604b0bb2f1d5f2cb2d0e7b8299c371718cc0cbb6efb5,03/31/2023 05:12:31 PM,03/31/2023 06:02:35 PM,EXEMPT - BUS/PARATRANSIT,MOBILE BUS LANE,B44+,40.6308248333333,-73.9474181666667,303376,NOSTRAND AV/AV L,40.62188,-73.945851,POINT (-73.9474181666667 40.6308248333333),POINT (-73.945851 40.62188)
359840367,7a31ec5f851aded6d3b83f6bc5a56bd9e5ad5a267bd27cc5adfedae3f566ea34,03/31/2023 05:14:00 PM,03/31/2023 06:34:00 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.6338885,-73.94784317,303477,NOSTRAND AV/NEWKIRK AV,40.640085,-73.948517,POINT (-73.94784317 40.6338885),POINT (-73.948517 40.640085)
359840187,09e50309e89d0c20c52c48d1b1e4f424bb97fd13007bea9faa65a4e6b2ece251,03/31/2023 05:13:45 PM,03/31/2023 06:37:46 PM,VIOLATION ISSUED,MOBILE BUS LANE,B44+,40.6346096666667,-73.9478445,303477,NOSTRAND AV/NEWKIRK AV,40.640085,-73.948517,POINT (-73.9478445 40.6346096666667),POINT (-73.948517 40.640085)
